"Name","Gender","Party","Roles","IsParlamentMember","IsOrdförande","IsGovernmentMember","ISViceOrförande"
"Adrian Magnusson","man","S","Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Fredrik Malm","man","L","Riksdagsledamot, Ordförande, Suppleant, Suppleant, Suppleant, Suppleant, Ledamot","False","True","True","False"
"Josefin Malmqvist","kvinna","M","Riksdagsledamot, Ledamot","False","False","True","False"
"Magnus Manhammar","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Noria Manouchi","kvinna","M","Andre vice gruppledare, Riksdagsledamot, Ledamot, Suppleant, Ledamot, Ersättare","False","False","True","False"
"Adam Marttinen","man","SD","Riksdagsledamot, Ledamot, Suppleant, Ordförande","False","True","True","False"
"Louise Meijer","kvinna","M","Riksdagsledamot, Ledamot, Personlig suppleant, Suppleant, Suppleant","False","False","True","False"
"Martin Melin","man","L","Statsrådsersättare, Ledamot, Suppleant, Suppleant, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Isabell Mixter","kvinna","V","Kvittningsperson, Riksdagsledamot, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Thomas Morell","man","SD","Riksdagsledamot, Vice ordförande","False","False","True","True"
"Azra Muranovic","kvinna","S","Riksdagsledamot, Suppleant","False","False","True","False"
"Camilla Mårtensen","kvinna","L","Kvittningsperson, Statsrådsersättare, Ledamot, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Ola Möller","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Laila Naraghi","kvinna","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Marie Nicholson","kvinna","M","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Elin Nilsson","kvinna","L","Statsrådsersättare, Ledamot, Suppleant, Ledamot","False","False","False","False"
"Jennie Nilsson","kvinna","S","Riksdagsledamot, Ledamot, Ledamot","False","False","True","False"
"Ulrik Nilsson","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Emma Nohrén","kvinna","MP","Riksdagsledamot, Ordförande, Suppleant, Suppleant, Suppleant, Ledamot","False","True","True","False"
"Carl Nordblom","man","M","Statsrådsersättare, Suppleant, Suppleant, Suppleant","False","False","False","False"
"Gudrun Nordborg","kvinna","V","Riksdagsledamot, Ledamot","False","False","True","False"
"Rickard Nordin","man","C","Riksdagsledamot, Suppleant, Suppleant, Suppleant, Suppleant","False","False","True","False"
"Lina Nordquist","kvinna","L","Gruppledare, Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Charlotte Nordström","kvinna","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Susanne Nordström","kvinna","M","Talmansersättare, Ledamot, Suppleant","False","False","False","False"
"Liza-Maria Norlin","kvinna","KD","Ersättare, Extra suppleant, Extra suppleant, Extra suppleant, Partisekreterare","False","False","False","False"
"Katja Nyberg","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Ingela Nylund Watz","kvinna","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Emelie Nyman","kvinna","C","Ersättare, Suppleant, Suppleant","False","False","False","False"
"Leif Nysmed","man","S","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Mona Olin","kvinna","SD","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Peter Ollén","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Jakob Olofsgård","man","L","Partisekreterare, Riksdagsledamot, Suppleant, Suppleant","False","False","True","False"
"Fredrik Olovsson","man","S","Riksdagsledamot, Ledamot, Suppleant, Ledamot","False","False","True","False"
"Stefan Olsson","man","M","Riksdagsledamot, Ledamot, Suppleant","False","False","True","False"
"Magnus Oscarsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant","False","False","True","False"
"Mikael Oscarsson","man","KD","Riksdagsledamot, Ledamot, Suppleant, Suppleant, Suppleant, Ledamot","False","False","True","False"
"Erik Ottoson","man","M","Riksdagsledamot, Vice ordförande, Suppleant, Ledamot, Ledamot","False","False","True","True"
"Kjell-Arne Ottosson","man","KD","Riksdagsledamot, Vice ordförande, Suppleant, Suppleant, Ledamot","False","False","True","True"
"Mattias Ottosson","man","S","Riksdagsledamot, Ledamot","False","False","True","False"
"Eric Palmqvist","man","SD","Riksdagsledamot, Ledamot, Ledamot, Suppleant","False","False","True","False"
"Amanda Palmstierna","kvinna","MP","Ersättare, Extra suppleant, Extra suppleant","False","False","False","False"
"Daniel Persson","man","SD","Riksdagsledamot, Ledamot","False","False","True","False"
"Magnus Persson","man","SD","Riksdagsledamot, Ordförande","False","True","True","False"
